rel_id,sumber,target,persentase,nilai,dividen,jenis_relasi
74030261,39868583,39717143,0.065,65000000.0,0.0,KEPEMILIKAN_SAHAM
73998853,39868583,40505376,0.01,250000.0,0.0,KEPEMILIKAN_SAHAM
74027568,39868583,40182082,59.97,102849000000.0,319448994000.0,KEPEMILIKAN_SAHAM
73991104,40729701,39868583,100.0,101820800000.0,0.0,KEPEMILIKAN_SAHAM
73972885,39868583,39632737,70.0,119000000000.0,0.0,KEPEMILIKAN_SAHAM
73966423,39868583,40485205,65.5,163750000000.0,0.0,KEPEMILIKAN_SAHAM
74010037,40601658,39868583,0.0,200000.0,0.0,KEPEMILIKAN_SAHAM
74061112,39868583,39972432,49.0,1274000000.0,0.0,KEPEMILIKAN_SAHAM
74022472,39868583,40407716,0.133,1000000.0,0.0,KEPEMILIKAN_SAHAM
73995996,39868583,40983417,0.222,1000000.0,0.0,KEPEMILIKAN_SAHAM
74001167,39868583,40512025,0.1,1000000.0,0.0,KEPEMILIKAN_SAHAM
73991931,39868583,40989039,0.2,3000000.0,0.0,KEPEMILIKAN_SAHAM
73966758,39868583,40679833,0.133,1000000.0,0.0,KEPEMILIKAN_SAHAM
73967750,39868583,39982219,0.1,5000000.0,0.0,KEPEMILIKAN_SAHAM
73966223,39868583,40309259,99.999,146309000000.0,19998000000.0,KEPEMILIKAN_SAHAM
73966541,39868583,40860375,0.286,2000000.0,0.0,KEPEMILIKAN_SAHAM
73967720,39868583,40842554,100.0,5499995000000.0,0.0,KEPEMILIKAN_SAHAM
73966114,39868583,40931643,99.983,5999000000.0,0.0,KEPEMILIKAN_SAHAM
73966887,39868583,39607917,0.023,5000000.0,0.0,KEPEMILIKAN_SAHAM
73966210,39868583,40135678,99.99,9999000000.0,19998000000.0,KEPEMILIKAN_SAHAM
74061936,39868583,40383024,10.0,6400000000.0,0.0,KEPEMILIKAN_SAHAM
74053807,39868583,39823384,61.31,122619000000.0,0.0,KEPEMILIKAN_SAHAM
74022976,39868583,39683490,56.18,20000000000.0,0.0,KEPEMILIKAN_SAHAM
73997260,39868583,39996131,49.0,448049000000.0,0.0,KEPEMILIKAN_SAHAM
73997093,39868583,40083578,32.0,63774278400.0,0.0,KEPEMILIKAN_SAHAM
73992345,39868583,40183137,1.0,13500000000.0,0.0,KEPEMILIKAN_SAHAM
73995089,39868583,39692561,40.001,34401000000.0,0.0,KEPEMILIKAN_SAHAM
73997396,39868583,40305852,0.004,40000000.0,0.0,KEPEMILIKAN_SAHAM
73965756,39868583,39496769,1.0,99000000.0,0.0,KEPEMILIKAN_SAHAM
73966660,39868583,40162662,99.998,47999000000.0,599987500000.0,KEPEMILIKAN_SAHAM
74064095,39868583,40649152,75.5,453000000.0,0.0,KEPEMILIKAN_SAHAM
74040229,40162662,39717143,99.935,99935000000.0,0.0,KEPEMILIKAN_SAHAM
74013495,40162662,40505376,99.99,2499750000.0,0.0,KEPEMILIKAN_SAHAM
74089013,49456681,40841492,20.0,2000000000.0,0.0,KEPEMILIKAN_SAHAM
74010191,40162662,40841492,80.0,8000000000.0,0.0,KEPEMILIKAN_SAHAM
73998679,40182082,39520818,30.0,4500000000.0,0.0,KEPEMILIKAN_SAHAM
74004892,40182082,39692561,59.999,51599000000.0,0.0,KEPEMILIKAN_SAHAM
74945606,44703864,40182082,0.001,1000000.0,3106000.0,KEPEMILIKAN_SAHAM
74200845,48819961,40182082,20.096,34465127500.0,212307204083.0,KEPEMILIKAN_SAHAM
73992772,40729701,39520818,40.0,6000000000.0,0.0,KEPEMILIKAN_SAHAM
74053302,40729701,40517044,0.002,1000000.0,0.0,KEPEMILIKAN_SAHAM
73963086,40729701,40950112,0.065,26000000.0,0.0,KEPEMILIKAN_SAHAM
74055630,40729701,40474564,80.0,26400000000.0,24000000000.0,KEPEMILIKAN_SAHAM
74058745,40729701,39892610,97.5,4875000000.0,0.0,KEPEMILIKAN_SAHAM
74053220,40729701,40601658,2.0,50000000.0,0.0,KEPEMILIKAN_SAHAM
74052183,40729701,39972432,51.0,1326000000.0,0.0,KEPEMILIKAN_SAHAM
74018484,40729701,40407716,99.867,749000000.0,0.0,KEPEMILIKAN_SAHAM
74020940,40729701,40384391,1.0,6000000.0,0.0,KEPEMILIKAN_SAHAM
74021616,40729701,40775716,8.766,1393560000.0,0.0,KEPEMILIKAN_SAHAM
74020779,40729701,39970008,100.0,0.0,0.0,KEPEMILIKAN_SAHAM
73992127,40729701,40983417,99.778,449000000.0,0.0,KEPEMILIKAN_SAHAM
73990918,40729701,39955271,100.0,249999000.0,9999960000.0,KEPEMILIKAN_SAHAM
73995656,40729701,40512025,99.9,999000000.0,0.0,KEPEMILIKAN_SAHAM
73988590,40729701,40989039,99.8,1497000000.0,0.0,KEPEMILIKAN_SAHAM
73989590,40729701,40746163,45.0,1197000000.0,27000000000.0,KEPEMILIKAN_SAHAM
73963217,40729701,40679833,99.867,749000000.0,0.0,KEPEMILIKAN_SAHAM
73962769,40729701,39982219,99.9,4995000000.0,0.0,KEPEMILIKAN_SAHAM
73963077,40729701,40309259,0.001,1000000.0,2000000.0,KEPEMILIKAN_SAHAM
73962762,40729701,40860375,99.714,698000000.0,100.0,KEPEMILIKAN_SAHAM
73962896,40729701,40842554,0.0,5000000.0,0.0,KEPEMILIKAN_SAHAM
73962812,40729701,40931643,0.017,1000000.0,0.0,KEPEMILIKAN_SAHAM
73963104,40729701,39607917,99.977,21468000000.0,0.0,KEPEMILIKAN_SAHAM
73962903,40729701,40135678,0.01,1000000.0,2000000.0,KEPEMILIKAN_SAHAM
74014857,40192859,40729701,50.0,31840000000.0,0.0,KEPEMILIKAN_SAHAM
74016781,39923419,40729701,50.0,31840000000.0,0.0,KEPEMILIKAN_SAHAM
73963593,40729701,40162662,0.002,1000000.0,12500000.0,KEPEMILIKAN_SAHAM
74002086,40162662,39520818,30.0,4500000000.0,0.0,KEPEMILIKAN_SAHAM
74062628,40950112,40517044,99.998,40149000000.0,0.0,KEPEMILIKAN_SAHAM
73982757,40162662,40950112,99.935,39974000000.0,0.0,KEPEMILIKAN_SAHAM
73981330,40162662,39632737,30.0,51000000000.0,0.0,KEPEMILIKAN_SAHAM
73989649,40474564,40485205,10.0,25000000000.0,0.0,KEPEMILIKAN_SAHAM
74066463,40055257,40474564,20.0,6600000000.0,6000000000.0,KEPEMILIKAN_SAHAM
73980525,40162662,40485205,24.5,61250000000.0,0.0,KEPEMILIKAN_SAHAM
75305522,44508011,39892610,2.5,125000000.0,0.0,KEPEMILIKAN_SAHAM
74079899,40842554,40601658,98.0,2450000000.0,0.0,KEPEMILIKAN_SAHAM
74036337,40601658,40943021,51.0,306000000.0,48450000000.0,KEPEMILIKAN_SAHAM
73969897,40407716,40068390,99.0,990000000.0,0.0,KEPEMILIKAN_SAHAM
74027611,40931643,40384391,99.0,594000000.0,0.0,KEPEMILIKAN_SAHAM
74095989,49440945,40775716,91.234,14504400000.0,0.0,KEPEMILIKAN_SAHAM
74971517,44703864,39955271,0.0,1000.0,40000.0,KEPEMILIKAN_SAHAM
73962923,40512025,40068390,1.0,10000000.0,0.0,KEPEMILIKAN_SAHAM
75017688,44534962,40746163,10.0,266000000.0,6000000000.0,KEPEMILIKAN_SAHAM
74893656,41389543,40746163,0.0,0.0,27000000000.0,KEPEMILIKAN_SAHAM
74841552,42518392,40746163,45.0,1197000000.0,0.0,KEPEMILIKAN_SAHAM
74081129,40309259,40383024,90.0,57600000000.0,0.0,KEPEMILIKAN_SAHAM
74076733,40842554,39823384,38.69,77381000000.0,0.0,KEPEMILIKAN_SAHAM
74046365,40842554,39683490,42.135,15000000000.0,0.0,KEPEMILIKAN_SAHAM
74018395,40842554,39996131,51.0,466337000000.0,0.0,KEPEMILIKAN_SAHAM
74017010,40842554,40183137,99.0,1336500000000.0,0.0,KEPEMILIKAN_SAHAM
73984620,40842554,39496769,99.0,9801000000.0,0.0,KEPEMILIKAN_SAHAM
74046102,40842554,40943021,49.0,294000000.0,46550000000.0,KEPEMILIKAN_SAHAM
74068381,40135678,40598722,60.0,180000000.0,0.0,KEPEMILIKAN_SAHAM
74043039,40192859,39683490,0.86,306000000.0,0.0,KEPEMILIKAN_SAHAM
74029968,40703315,40192859,25.0,151456700.0,16500000000.0,KEPEMILIKAN_SAHAM
74043728,39877823,40192859,50.0,302913400.0,33000000000.0,KEPEMILIKAN_SAHAM
74027795,39737277,40192859,25.0,151456700.0,16500000000.0,KEPEMILIKAN_SAHAM
74045478,39923419,39683490,0.826,294000000.0,0.0,KEPEMILIKAN_SAHAM
73996430,40703315,39923419,25.0,151456700.0,16500000000.0,KEPEMILIKAN_SAHAM
74010194,39877823,39923419,50.0,302913400.0,33000000000.0,KEPEMILIKAN_SAHAM
74001133,40597344,39923419,25.0,151456700.0,16500000000.0,KEPEMILIKAN_SAHAM
74069638,39996131,40034136,60.0,503646000000.0,0.0,KEPEMILIKAN_SAHAM
74043151,39996131,40264147,60.0,408120000000.0,0.0,KEPEMILIKAN_SAHAM
74090368,49466807,40083578,67.0,133527395400.0,0.0,KEPEMILIKAN_SAHAM
73998969,40748303,40083578,1.0,1992946200.0,0.0,KEPEMILIKAN_SAHAM
74013589,40162662,40305852,99.996,999960000000.0,0.0,KEPEMILIKAN_SAHAM
74062233,40305852,40948838,1.0,60000000.0,0.0,KEPEMILIKAN_SAHAM
74069811,40162662,40948838,99.0,5940000000.0,0.0,KEPEMILIKAN_SAHAM
74072220,40162662,40649152,24.5,147000000.0,0.0,KEPEMILIKAN_SAHAM
74517265,44703864,40660782,60.0,360000000.0,0.0,KEPEMILIKAN_SAHAM
74956015,44703864,40703315,97.524,590827000.0,0.0,KEPEMILIKAN_SAHAM
74976461,44703864,40529035,2.155,236530000.0,0.0,KEPEMILIKAN_SAHAM
75592761,44703864,39877823,10.0,60582000.0,0.0,KEPEMILIKAN_SAHAM
74068195,40324429,40034136,40.0,335764000000.0,0.0,KEPEMILIKAN_SAHAM
74048749,40554664,40264147,40.0,272080000000.0,0.0,KEPEMILIKAN_SAHAM
75483048,44455273,40748303,99.88,4994000000.0,0.0,KEPEMILIKAN_SAHAM
75365327,41005919,40748303,0.12,6000000.0,0.0,KEPEMILIKAN_SAHAM
73968711,40943021,40987277,11.111,50000000000.0,0.0,KEPEMILIKAN_SAHAM
75339189,43299869,40598722,40.0,120000000.0,0.0,KEPEMILIKAN_SAHAM
74717854,42469749,40660782,40.0,240000000.0,0.0,KEPEMILIKAN_SAHAM
74910479,42633051,40703315,2.476,15000000.0,0.0,KEPEMILIKAN_SAHAM
74025020,40703315,40218681,51.0,1326000000.0,0.0,KEPEMILIKAN_SAHAM
75248509,43183509,40529035,2.155,236530000.0,0.0,KEPEMILIKAN_SAHAM
75243469,41898112,40529035,2.155,236530000.0,0.0,KEPEMILIKAN_SAHAM
75221608,44820313,40529035,1.293,141920000.0,0.0,KEPEMILIKAN_SAHAM
75215671,44372236,40529035,2.155,236530000.0,0.0,KEPEMILIKAN_SAHAM
75195094,43561031,40529035,2.155,236530000.0,0.0,KEPEMILIKAN_SAHAM
75187090,42656543,40529035,3.017,331145000.0,0.0,KEPEMILIKAN_SAHAM
75191628,43547068,40529035,2.155,236530000.0,0.0,KEPEMILIKAN_SAHAM
75149403,43468355,40529035,10.635,1167200000.0,0.0,KEPEMILIKAN_SAHAM
